Price,Address1,Address2,Room,Shower,Car,Size
"$490,000 - $520,000","1/19 Temby Close,",ENDEAVOUR HILLS VIC 3802,2 Beds,1 Bath,1 Parking,NG
AUCTION,"116/12 Albert Street,",HAWTHORN EAST VIC 3123,3 Beds,2 Baths,2 Parking,NG
"$500,000 - $550,000","504/457-459 Lygon Street,",BRUNSWICK EAST VIC 3057,2 Beds,1 Bath,1 Parking,NG
"$599,000 - $658,000","5/29 Culcairn Drive,",FRANKSTON SOUTH VIC 3199,3 Beds,2 Baths,2 Parking,254m
"$590,000 - $620,000 - Forthcoming Auction","4/46 Warren Road,",CHELTENHAM VIC 3192,2 Beds,1 Bath,1 Parking,NG
"$580,000 - $600,000","303/14-16 Elliott Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$620,000 - $640,000","G06/14-16 Elliott Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"$550,000 - $570,000","104/14-16 Elliott Avenue,",CARNEGIE VIC 3163,2 Beds,2 Baths,1 Parking,NG
"Auction $500,000 - $550,000","10/261 Heidelberg Road,",NORTHCOTE VIC 3070,2 Beds,1 Bath,1 Parking,NG
"$690,000-$740,000","1/8 Baringhup Street,",CHELTENHAM VIC 3192,2 Beds,1 Bath,1 Parking,NG
"$460,000 - $500,000","4/5 Leopold Avenue,",SPRINGVALE SOUTH VIC 3172,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"7/5 Ormond Esplanade,",ELWOOD VIC 3184,2 Beds,1 Bath,1 Parking,NG
"$580,000 - $630,000","8/252 Station Street,",EDITHVALE VIC 3196,2 Beds,1 Bath,1 Parking,NG
"$649,000","2/24 Kendall Street,",ELWOOD VIC 3184,2 Beds,1 Bath,1 Parking,NG
"$480,000 - $520,000","4/55 Van Ness Avenue,",MORNINGTON VIC 3931,2 Beds,1 Bath,1 Parking,261m
"$425,000 - $465,000","7/27 Brunnings Road,",CARRUM DOWNS VIC 3201,2 Beds,1 Bath,1 Parking,NG
"$370,000 - $390,000","2/94B Ballan Road,",WERRIBEE VIC 3030,3 Beds,1 Bath,1 Parking,215m
Contact agent for details,"3102/120 A'Beckett Street,",MELBOURNE VIC 3000,2 Beds,2 Baths, Parking,NG
"$480,000 - $520,000","5/392 Inkerman Street,",ST KILDA EAST VIC 3183,2 Beds,1 Bath,1 Parking,NG
"$630,000 - $660,000","1705/7 Yarra Street,",SOUTH YARRA VIC 3141,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"2/44 Shelley Street,",ELWOOD VIC 3184,2 Beds,1 Bath, Parking,NG
"$590,000 - $630,000","8/27 Newry Street,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,NG
"$675,000 - $695,000","4/15 Denbigh Road,",ARMADALE VIC 3143,2 Beds,1 Bath,1 Parking,NG
"$570,000 - $600,000","14/67 High Street,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,NG
"$860,000-$946,000","507/360 St Kilda Road,",MELBOURNE 3004 VIC 3004,2 Beds,2 Baths,1 Parking,NG
Contact Agent,"3/30 Franklin Street,",MOORABBIN VIC 3189,2 Beds,1 Bath,1 Parking,NG
Contact Agent,"201/65 Grosvenor Street,",BALACLAVA VIC 3183,2 Beds,2 Baths,1 Parking,NG
"EOI $650,000 - $685,000","107/206 Lower Heidelberg Road,",IVANHOE EAST VIC 3079,2 Beds,2 Baths,1 Parking,NG
"$539,000","205/182-200 Lygon Street,",BRUNSWICK EAST VIC 3057,2 Beds,2 Baths,1 Parking,NG
"$430,000 - $470,000","11/444 Albion Street,",BRUNSWICK WEST VIC 3055,2 Beds,1 Bath,1 Parking,NG
"$540,000 - $590,000","7/11 Lewisham Road,",WINDSOR VIC 3181,2 Beds,1 Bath,1 Parking,NG
"$555,000 - $600,000","105/40 Stanley Street,",COLLINGWOOD VIC 3066,2 Beds,1 Bath,1 Parking,NG
"$480,000 - $520,000","1/86 Fogarty Avenue,",HIGHTON VIC 3216,3 Beds,2 Baths,1 Parking,271m
"$500,000 - $550,000","2/5 Warbla Street,",DANDENONG NORTH VIC 3175,3 Beds,2 Baths,1 Parking,NG
"$680,000 - $720,000","3/1 William Street,",MOORABBIN VIC 3189,2 Beds,1 Bath,1 Parking,120m
"$590,000 - $630,000","C114/59 John Street,",BRUNSWICK EAST VIC 3057,2 Beds,2 Baths,1 Parking,NG
"$550,000","V8xx/8 Hopkins street,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,NG
"$700,000 - $750,000","13/185 Barkly Street,",ST KILDA VIC 3182,2 Beds,1 Bath,1 Parking,NG
"$365,000 - $400,000","91/115 Neerim Road,",GLEN HUNTLY VIC 3163,2 Beds,1 Bath,1 Parking,NG
